,iso_code,continent,location,total_deaths_per_million,density,gdp,life_expectancy
0,AFG,Asia,Afghanistan,193.095,59.6273948472873,516.747870807558,65.173
1,ALB,Europe,Albania,1239.355,103.571131386861,5332.16047456847,78.686
2,DZA,Africa,Algeria,155.643,18.4113398560129,3306.85820838104,77.063
3,AND,Europe,Andorra,1935.876,164.393617021277,37416.6977203275,
4,AGO,Africa,Angola,55.414,26.3626116948745,1631.43169087951,61.487
5,ATG,North America,Antigua and Barbuda,1544.733,222.563636363636,13992.7444804497,77.146
6,ARG,South America,Argentina,2855.283,16.580892611147,8585.69474249794,76.813
7,ARM,Asia,Armenia,3093.185,104.082683526519,4266.01807420946,75.224
8,ABW,North America,Aruba,2102.576,593.144444444444,23384.2987907455,76.434
9,AUS,Oceania,Australia,450.174,3.34024963533636,51680.3165229438,83.2
10,AUT,Europe,Austria,2276.375,108.057004362579,48588.6593847921,81.1926829268293
11,AZE,Asia,Azerbaijan,944.828,122.112916495269,4229.91064904503,73.123
12,BHS,North America,Bahamas,2015.17,39.2855144855145,24665.0968345675,74.053
13,BHR,Asia,Bahrain,1031.255,2181.51666666667,20406.5023256629,77.419
14,BGD,Asia,Bangladesh,172.914,1265.18693247292,2270.34753479166,72.868
15,BRB,North America,Barbados,1746.088,668.304651162791,16318.7481052701,79.308
16,BLR,Europe,Belarus,743.148,46.211212927382,6555.42681826316,74.2268292682927
17,BEL,Europe,Belgium,2775.543,381.249702774108,45189.3669003126,80.7951219512195
18,BLZ,North America,Belize,1699.868,17.4318719859711,3987.79659612067,74.754
19,BEN,Africa,Benin,12.541,107.513284852785,1291.04097215441,62.077
20,BMU,North America,Bermuda,2243.515,1183.2037037037,107706.039785266,82.0560975609756
21,BTN,Asia,Bhutan,27.01,20.2310435238595,3000.77798595652,72.08
22,BOL,South America,Bolivia,1824.997,10.7754352441614,3137.98961744018,71.771
23,BIH,Europe,Bosnia and Herzegovina,4846.003,64.07841796875,6082.36673041923,77.545
24,BWA,Africa,Botswana,1070.15,4.14946270710921,6348.83231765626,69.793
25,BRA,South America,Brazil,3163.724,25.4314248146119,6814.87563196772,76.084
26,VGB,North America,British Virgin Islands,2024.291,201.58,,
27,BRN,Asia,Brunei,505.195,83.0138519924099,27442.95382794,75.998
28,BGR,Europe,Bulgaria,5425.605,63.8726510685335,10079.2033812203,73.6073170731707
29,BFA,Africa,Burkina Faso,17.511,76.4008698830409,857.932729650223,61.981
30,BDI,Africa,Burundi,3.028,463.036643302181,233.837510306669,61.916
